"id","player","atpname","birthdate","weight","height","turnedpro","birthplace","coaches","hand","backhand","ioc"
"111045","Khalid Hussain Fitiani","Khalid Hussain Fitiani",,,,,"","","","","KSA"
"111046","Tawfik Al Ibrahim","Tawfik Al Ibrahim",,,,,"","","","","KSA"
"111047","Lasith Dissanayake","Lasith Dissanayake",,,,,"","","","","SRI"
"111048","Tareq Hadeed","Tareq Hadeed",,,,,"","","","","KUW"
"111049","Abdullah Al Mahmeed","Abdullah Al Mahmeed",,,,,"","","","","KUW"
"111050","Abdel Monem Bornaz","Abdel Monem Bornaz",,,,,"","","","","LBA"
"111051","Saad El Ragig","Saad El Ragig",,,,,"","","","","LBA"
"111058","Marcos Klensch","Marcos Klensch",,,,,"","","","","LUX"
"111059","Michel Borfiga","Michel Borfiga",,,,,"","","","","MON"
"111060","Christian Collange","Christian Collange",,,,,"","","","","MON"
"111061","Thierry Neiens","Thierry Neiens",,,,,"","","","","LUX"
"111066","Alphonse Neu","Alphonse Neu",,,,,"","","","","LUX"
"111067","Anthony Mills","Anthony Mills",,,,,"","","","","LUX"
"111068","Witold Meres","Witold Meres",,,,,"","","","","POL"
"111069","Mehdi Ben Ismail","Mehdi Ben Ismail",,,,,"","","","","TUN"
"111070","Hatem Debbeche","Hatem Debbeche",,,,,"","","","","TUN"
"111071","Roy Anchant","Roy Anchant",,,,,"","","","","MAS"
"111072","Abdul Rahman Ramlal","Abdul Rahman Ramlal",,,,,"","","","","MAS"
"111076","Suresh Menon","Suresh Menon",,,,,"","","","","MAS"
"111077","Ponkaphan Phisaimongket","Ponkaphan Phisaimongket",,,,,"","","","","THA"
"111081","Rene Ruzic","Rene Ruzic",,,,,"","","","","MON"
"111084","Jilani Bouhafa","Jilani Bouhafa",,,,,"","","","","TUN"
"111085","Karim Fliss","Karim Fliss",,,,,"","","","","TUN"
"111090","Gisle Pedersen Jentoft","Gisle Pedersen Jentoft",,,,,"","","","","NOR"
"111095","Ajit Perera","Ajit Perera",,,,,"","","","","SRI"
"111096","Tayyab Iftikhar","Tayyab Iftikhar",,,,,"","","","","PAK"
"111099","Antonio Del Rosario","Antonio Del Rosario",,,,,"","","","","PHI"
"111101","Neil Rajapakse","Neil Rajapakse",,,,,"","","","","SRI"
"111102","Chareonchai Tritilinant","Chareonchai Tritilinant",,,,,"","","","","THA"
"111103","Yung Yan Lin","Yung Yan Lin",,,,,"","","","","TPE"
"111104","Raouf Ben Farhat","Raouf Ben Farhat",,,,,"","","","","TUN"
"111105","Ikbel Hanachi","Ikbel Hanachi",,,,,"","","","","TUN"
"111109","Mounged Bouhassoun","Mounged Bouhassoun",,,,,"","","","","SYR"
"111112","Tan Ah Peng","Tan Ah Peng",,,,,"","","","","SIN"
"111113","Jehad Sheet","Jehad Sheet",,,,,"","","","","SYR"
"111114","Niranjan Casie Chitty","Niranjan Casie Chitty",,,,,"","","","","SRI"
"111116","Hrage Magarian","Hrage Magarian",,,,,"","","","","SYR"
"111117","Hichem Riani","Hichem Riani",,,,,"","","","","TUN"
"111118","Metin Gurel","Metin Gurel",,,,,"","","","","TUR"
"118675","Seung-Hoon Lee","Seung-Hoon Lee",19840326,,,,"","","","","KOR"
"124369","Rodrigo Ramirez","Rodrigo Ramirez",,,,,"","","","","CHI"
"125650","Ahmed Ramadan","Ahmed Ramadan",,,,,"","","","","LBN"
"125653","Mohammed Abdul Fatah","Mohammed Abdul Fatah",,,,,"","","","","EGY"
"125664","Marc Weitzel","Marc Weitzel",,,,,"","","","","LUX"
"125665","Pascal Genevo","Pascal Genevo",,,,,"","","","","LUX"
"125666","Andrzej Wisnieski","Andrzej Wisnieski",,,,,"","","","","POL"
"125686","Ny Hy","Ny Hy",,,,,"","","","","HKG"
"125695","Chana Techasen","Chana Techasen",,,,,"","","","","THA"
"125696","Somporn Champisri","Somporn Champisri",,,,,"","","","","THA"
"125697","Prasert Kaiman","Prasert Kaiman",,,,,"","","","","THA"
"125698","Van Thanh Nguyen","Van Thanh Nguyen",,,,,"","","","","VIE"
"125703","Chang Nam Ju","Chang Nam Ju",,,,,"","","","","KOR"
"125714","Serge Gramegna","Serge Gramegna",,,,,"","","","","SUI"
"125715","Hakki Ozgenel","Hakki Ozgenel",,,,,"","","","","TUR"
"125728","Ek Son Lee","Ek Son Lee",,,,,"","","","","KOR"
"125738","Nadir Ali Khan","Nadir Ali Khan",,,,,"","","","","PAK"
"125742","Jan Jilemnicky","Jan Jilemnicky",,,,,"","","","","LUX"
"125747","Cevdet Cika","Cevdet Cika",,,,,"","","","","TUR"
"125758","Altaf Hussain","Altaf Hussain",,,,,"","","","","PAK"
"125759","Albert Cheah","Albert Cheah",,,,,"","","","","MAS"
"125760","Fook Chong Chiew","Fook Chong Chiew",,,,,"","","","","MAS"
"125768","Everard De Silva","Everard De Silva",,,,,"","","","","SRI"
"133933","Thomas Yaka Kofi Setodji","Thomas Yaka Kofi Setodji",,,,,"","","","","TOG"
"213705","Ahmad Nael Qureshi","Ahmad Nael Qureshi",,,,,"","","","","PAK"
"A001","Sadiq Abdullahi","Sadiq Abdullahi",19600202,,,,"","","R","","NGR"
"A002","Ricardo Acuna","Ricardo Acuna",19580113,68,175,,"Santiago, Chile","","R","","CHI"
"A004","Egan Adams","Egan Adams",19590615,73,178,,"Miami Beach, FL, USA","","R","","USA"
